YEAR,VISIT_NO,PHSTVL,CL,NO3,LAT_DD,LON_DD,URB_NLCD,AG_NLCD,FOR_NLCD
1995,1,6.91,44,30.3,39.26150556,79.41010556,0.037486,10.611128,85.661615
1995,1,6.66,85,9.7,39.45408889,79.40633889,0.033507,9.432973,81.48358
1995,1,7.42,310,72.3,39.63593333,77.49318611,0,34.158989,63.695118
1995,1,6.39,30,1.6,39.66234167,78.66045278,0,6.832778,93.131858
1993,1,6.82,79,44.3,39.68368889,79.47239722,0.03782,19.144995,80.552446
1993,1,7.14,36,50.9,39.54468611,79.18200278,0,0.486271,90.671675
1993,1,7.08,102,37.4,39.60595278,79.08000278,0.044923,14.169003,85.636329
1993,1,7.11,429,16.5,39.65928611,78.42956389,1.149687,2.13908,94.523023
1993,1,7.06,54,7,39.61331389,78.56846667,0,6.440323,93.453147
1993,1,8.44,204,575,39.67982222,77.89979167,0,97.785764,2.045711
1994,1,7.12,696,375,38.9242,75.9871,0.493195,70.569563,17.503442
1994,1,7.18,663,248,39.2913,76.9709,3.489165,76.369058,17.98643
1994,1,6.72,32,7,39.5996,78.6668,0,19.452531,80.547469
1994,1,6.66,166,7.2,38.4715,76.8519,1.501079,47.672991,47.981974
1994,1,7.15,166,28.4,39.59777222,79.0566,0.449443,23.311934,74.035454
1994,1,7.93,242,60.3,39.6105,77.616,3.562717,45.827846,50.211092
1994,1,7.24,327,15.1,39.5756,78.8481,12.311055,5.510252,80.752192
1993,1,7.7,858,173,39.57722,77.75472,22.449754,62.914898,14.170742
1993,1,7.65,84,13.1,39.58158,78.7186,0.030304,11.269531,88.540051
1993,1,6.93,60,54,39.51417,79.16167,0.023321,8.115515,91.02442
1994,1,7.97,1119,250,39.57167,77.75444,22.449754,62.914898,14.170742
1994,1,7.18,58,14.6,39.58194,78.71861,0.030304,11.269531,88.540051
1993,1,5.42,41,14.8,39.5375,79.315,0.036841,18.634966,66.079984
1993,1,7.26,290,33,39.3883,79.3931,0.293314,64.508375,33.927713
1993,1,7.8,883,12.7,39.6708,78.7936,8.189511,6.552517,83.130374
1995,1,7.4,469,4.7,42.29580833,74.35110833,1.457444,8.958647,89.084618
1995,1,7.6,326,79.7,42.32738889,74.79965,1.454211,25.269501,72.912788
1995,1,7.3,171,18.7,42.11180833,74.36041111,0.856158,7.532203,90.745922
1993,1,6.47,384,4.2,41.81901389,74.53833611,0.04053,11.349084,83.483177
1993,1,7.64,376,98.2,42.35103611,74.69287778,2.549394,28.933356,68.114147
